,cpu_rank,cpu_name
181,182,AMD Ryzen 5 5600U
182,183,Intel Core i7-2820QM
183,184,AMD Ryzen 5 Pro 4680U
184,185,AMD Ryzen 5 4600U
185,186,Intel Core i7-2720QM
186,187,AMD Ryzen 3 4300U
187,188,AMD Ryzen 5 4500U
188,189,Intel Core i3-10110U
189,190,AMD Ryzen 5 3580U
190,191,Intel Core i3-1005G1
191,192,Intel Core i5-7300HQ Processor
192,193,AMD Ryzen 3 5300U
193,194,Intel Core i3-10100T
194,195,Intel Core i7-2670QM
195,196,Intel Core i7-7660U
196,197,Intel Core i7-2630QM
197,198,Intel Core i5-6300HQ Processor
198,199,Intel Core i7-3612QM
199,200,Intel Core i5-7300U
200,201,Intel Pentium Gold 7505
201,202,Intel Core i3-8145U
202,203,Intel Core i3-8130U
203,204,Intel Core i7-7560U
204,205,AMD Ryzen 7 3700U
205,206,Intel Core i7-7500U
206,207,Intel Core i5-6267U
207,208,Intel Pentium Silver N6000
208,209,AMD Ryzen 5 3500U
209,210,AMD Ryzen 5 PRO 3500U
210,211,Intel Core i5-4210H
211,212,Intel Core i5-7267U
212,213,Intel Core i5-7200U
213,214,Intel Core i5-4200H
214,215,AMD Ryzen PRO 3 3300U
215,216,AMD FX-9830P
216,217,Intel Core i5-4308U
217,218,Intel Core i7-3540M
218,219,Intel Core i5-4300M
219,220,AMD Ryzen 7 2700U
220,221,AMD Ryzen 7 PRO 2700U
221,222,Intel Core i7-6560U
222,223,AMD Ryzen 5 2500U
223,224,AMD Ryzen PRO 5 2500U
224,225,Intel Core i5-4210M
225,226,Intel Core i5-4278U
226,227,AMD Ryzen 5 3450U
227,228,Intel® Core i5-6300U Processor
228,229,Intel Core i5-7360U
229,230,Intel Core i5-6360U Processor
230,231,Intel Core i5-4200M
231,232,Intel Core i3-7130U
232,233,Intel Core i7-3520M
233,234,AMD Ryzen 3 3300U
234,235,Intel Core i7-5557U
235,236,Intel Core i7-2640M
236,237,AMD FX-9800P
237,238,Intel Core i5-4288U
238,239,AMD FX-8800P
239,240,Intel Core i7-6600U Processor
240,241,Intel Core i5-4258U
241,242,Intel Core i5-5287U
242,243,Intel Core i3-7100U
243,244,Intel Core i5-1030NG7
244,245,AMD FX-8800P
245,246,Intel Core i7-6500U
246,247,AMD A10-8780P Extreme
247,248,Microsoft ARM SQ2
248,249,AMD A12-9720P
249,250,Intel Core i3-7020U
250,251,Intel Core i5-3230M
251,252,Intel Core i5-4285U
252,253,Intel Core i5-5257U
253,254,Intel Core i7-4558U
254,255,Intel Core i5-3320M
255,256,Intel Core i7-5600U
256,257,AMD A10-8700P
257,258,Intel Core i7-2620M
258,259,Intel Core i5-2540M
259,260,Microsoft ARM SQ1
260,261,AMD A12-9700P
261,262,Intel Core i7-6498DU
262,263,AMD A10-7400P
263,264,Intel Core i5-5300U
264,265,Intel Core i7-5650U
265,266,Intel Core i5-8210Y
266,267,Intel Core i5-2520M
267,268,Intel Core i5-3210M
268,269,Intel Core i7-920XM
269,270,Intel Core i3-4100M
270,271,Intel Core i7-5500U
271,272,AMD A10-5750M
272,273,AMD A10-9620P
273,274,Intel Core i5-6200U
274,275,Intel Core i5-2450M
275,276,Intel Core i5-5350U
276,277,Intel Core i5-5200U
277,278,Intel Pentium Silver N5030
278,279,Intel Core m3-7Y30
279,280,Intel Core i5-6198DU
280,281,Intel Core i7-4510U
281,282,Intel Core i5-4310U
282,283,Intel Core i7-3667U
283,284,Intel Core m3-7Y32
284,285,Intel Core i5-2435M
285,286,Intel Core i5-2430M
286,287,Intel Core i7-3537U
287,288,Intel Core i5-4300U
288,289,Intel Core i7-820QM
289,290,Intel Core i7-640M
290,291,Intel Core 2 Quad Q9100
291,292,Intel Core i5-3437U
292,293,Intel Pentium Gold 5405U
293,294,Intel Pentium 4417U
294,295,Intel Core i7-740QM
295,296,AMD A10-9600P
296,297,Intel Core i7-620M
297,298,Intel Core i5-2410M
298,299,Intel Core i3-4000M
