,gpu_rank,gpu_name
152,153,Intel UHD Graphics Xe G4
153,154,NVIDIA GeForce GTX 950M
154,155,NVIDIA GeForce MX250
155,156,AMD Radeon RX 640
156,157,AMD Radeon R9 M280X
157,158,NVIDIA GeForce GTX 675MX
158,159,NVIDIA GeForce GTX 675MX
159,160,AMD Radeon RX540
160,161,NVIDIA GeForce GTX 765MX
161,162,NVIDIA Quadro K3100M
162,163,NVIDIA GeForce GTX 850M
163,164,NVIDIA GeForce GTX 765M
164,165,NVIDIA Quadro P520
165,166,AMD Radeon RX Vega 7
166,167,AMD Radeon RX Vega 7
167,168,4000
168,169,AMD Radeon RX Vega 8
169,170,NVIDIA GeForce GTX 850M
170,171,AMD Radeon RX Vega 8
171,172,4000
172,173,AMD Radeon RX Vega 7
173,174,NVIDIA GeForce GTX 850M
174,175,AMD Radeon 630
175,176,NVIDIA GeForce GTX 670MX
176,177,NVIDIA GeForce MX130
177,178,NVIDIA GeForce MX130
178,179,NVIDIA GeForce GT 940MX
179,180,NVIDIA GeForce GT 940MX
180,181,NVIDIA GeForce MX130
181,182,NVIDIA GeForce MX130
182,183,NVIDIA GeForce GTX 580M
183,184,NVIDIA GeForce GT 940MX
184,185,NVIDIA GeForce GT 940MX
185,186,AMD FirePro M5100
186,187,NVIDIA GeForce GT 940M
187,188,NVIDIA GeForce GT 940M
188,189,AMD Radeon R9 M270
189,190,AMD Radeon R9 M375
190,191,NVIDIA GeForce MX230
191,192,AMD Radeon HD 7870M
192,193,AMD Radeon R9 M270
193,194,NVIDIA GeForce GT 930MX
194,195,AMD Radeon R7 M270
195,196,AMD Radeon RX Vega 6
196,197,AMD Radeon 540X
197,198,NVIDIA GeForce GTX 670M
198,199,AMD Radeon R9 M270
199,200,NVIDIA GeForce GT 755M
200,201,NVIDIA Quadro K2200M
201,202,AMD Radeon R9 M370X
202,203,NVIDIA GeForce GTX 670M
203,204,Intel Iris Plus Graphics 655
204,205,Intel Iris Plus Graphics 645
205,206,NVIDIA Quadro K2100M
206,207,NVIDIA GeForce GT 750M
207,208,AMD Radeon RX Vega 5
208,209,AMD Radeon RX Vega 9
209,210,NVIDIA GeForce GT 750M
210,211,AMD Radeon RX Vega 10
211,212,Intel Iris Plus Graphics G7
212,213,NVIDIA GeForce GTX 570M
213,214,NVIDIA GeForce GTX 660M
214,215,AMD Radeon 680M
215,216,Intel Iris Graphics 550
216,217,NVIDIA GeForce GT 750M
217,218,AMD Radeon 540
218,219,AMD Radeon Radeon 660M
219,220,Intel Iris Plus Graphics 650
220,221,AMD Radeon 540
221,222,AMD FirePro W4170M
222,223,AMD Radeon 625
223,224,AMD Radeon RX Vega 8
224,225,Intel Iris Plus Graphics G4
225,226,Intel Iris Plus Graphics 640
226,227,AMD Radeon 535
227,228,AMD Radeon 530
228,229,AMD Radeon 535
229,230,NVIDIA GeForce GTX 560M
230,231,AMD Radeon 620
231,232,AMD Radeon 530
232,233,AMD Radeon 530
233,234,AMD FirePro W4170M
234,235,AMD Radeon 530
235,236,Intel Iris Pro graphics 5200
236,237,Intel Iris Graphics 540
237,238,AMD Radeon 520
238,239,NVIDIA GeForce 845M
239,240,NVIDIA GeForce GT 745M
240,241,AMD Radeon 520
241,242,NVIDIA GeForce GTX 560M
242,243,AMD Radeon 520
243,244,AMD FirePro W4190M
244,245,NVIDIA GeForce GT 745M
245,246,NVIDIA Quadro M5000M
246,247,NVIDIA GeForce GTX 560M
247,248,AMD Radeon R9 M265X
248,249,NVIDIA NVS 5200M
249,250,NVIDIA GeForce GT 650M
250,251,NVIDIA GeForce GT 650M
251,252,NVIDIA Quadro M600M
252,253,AMD Radeon HD 6870M
253,254,NVIDIA GeForce GT 650M
254,255,NVIDIA Quadro K1100M
255,256,AMD Radeon HD 8850M
256,257,NVIDIA GeForce GT 645M
257,258,AMD Radeon RX Vega 6
258,259,NVIDIA GeForce GT 645M
259,260,NVIDIA GeForce GT 840M
260,261,NVIDIA GeForce GT 740M
261,262,AMD Radeon HD 8850M
262,263,NVIDIA GeForce GT 840M
263,264,NVIDIA GeForce GT 740M
264,265,Intel UHD Graphics 620
265,266,NVIDIA GeForce GTX 460M
266,267,Intel UHD Graphics G1
267,268,NVIDIA GeForce GT 650M
268,269,NVIDIA GeForce GT 740M
269,270,AMD Radeon HD 6850M
270,271,Intel HD Graphics 620
271,272,NVIDIA Quadro M3000M
272,273,NVIDIA GeForce GTX 460M
273,274,NVIDIA Quadro 4000M
274,275,NVIDIA GeForce GT 735M
275,276,NVIDIA Quadro FX 3800M
276,277,NVIDIA GeForce GT 730M
277,278,NVIDIA Quadro FX 3800M
278,279,ATI Mobility Radeon HD HD5870
279,280,NVIDIA GeForce GTX 285M
280,281,AMD Radeon HD 8750M
281,282,AMD Radeon R7 M260X
282,283,NVIDIA GeForce GT 640M
283,284,NVIDIA GeForce GT 730M
284,285,AMD Radeon R7 M265
285,286,AMD Radeon HD 8750M
286,287,NVIDIA GeForce GT 730M LE
287,288,NVIDIA GeForce GT 640M
288,289,NVIDIA GeForce GT 635M
289,290,AMD Radeon RX Vega 3
290,291,AMD Radeon R7 M445
291,292,AMD Radeon R7 M445
292,293,AMD Radeon HD 8750M
293,294,NVIDIA GeForce GT 555M
294,295,AMD Radeon HD 7690M
295,296,NVIDIA GeForce GT 635M
296,297,NVIDIA N14M-GS
297,298,AMD Radeon HD 6770M
298,299,AMD Radeon HD 6770M
299,300,NVIDIA GeForce GT 555M
300,301,NVIDIA GeForce GT 555M
301,302,NVIDIA Quadro 2000M
302,303,NVIDIA Quadro 3000M
303,304,AMD Radeon R7 M360
304,305,Intel UHD Graphics 617
305,306,AMD Radeon R7 M360
306,307,NVIDIA GeForce GT 930M
307,308,AMD Radeon HD 8730M
308,309,NVIDIA GeForce 920M
309,310,NVIDIA GeForce GT 630M
310,311,NVIDIA GeForce 920M
311,312,ATI Radeon HD4850
312,313,NVIDIA GeForce 920A
313,314,AMD Radeon R7
314,315,AMD Radeon HD 7730M
315,316,AMD Radeon HD 8730M
316,317,AMD Radeon R7 M440
