,gpu,cpu,panel_type,size,resolution,refresh_rate,touch_screen,memory_slot,hard_disk_drive,hdmi,displayport,d_sub_vga,thunderbolt,bluetooth,os_bundle,web_camera,optical_drive,fingerprint,body_material,weight,keyboard_backlit,numpad,other_detail,warranty,m2PCIe_slot,m2Combo_slot,m2SATA_slot,mem_size,mem_type,mem_onboard,ssd_size,usbtype_A,usbtype_C,prices
25,AMD Radeon R5,AMD A9-9420e,TN,15.6,1049088,60,0,1,no,1,0,0,0,Bluetooth 4.0,Windows 10,Below HD,0,0,Plastic,1.9,no,yes,no,2,0,1,0,4,DDR4,0,256,2,0,8990
26,AMD Radeon RX 5500M,AMD Ryzen 5 4600H,IPS,15.6,2073600,144,0,2,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,0,Aluminium + Plastic,1.96,yes,no,no,2,1,1,0,8,DDR4,0,512,2,2,29900
27,AMD Radeon RX 5500M,AMD Ryzen 5 4600H,IPS,15.6,2073600,120,0,2,no,1,0,0,0,Bluetooth 5.0,Windows 10,HD,0,0,Aluminium + Plastic,1.96,yes,no,no,2,1,1,0,8,DDR4,0,512,2,2,29990
28,AMD Radeon RX 5500M,AMD Ryzen 5 5600H,IPS,15.6,2073600,144,0,2,no,1,0,0,0,Bluetooth 5.1,Windows 10,HD,0,0,Aluminium + Plastic,1.96,yes,no,no,2,1,1,0,8,DDR4,0,512,2,2,29990
29,AMD Radeon RX 5500M,AMD Ryzen 5 5600H,IPS,16.1,2073600,144,0,1,no,1,0,0,0,Bluetooth 5.2,Windows 10,HD,0,0,Plastic,2.46,yes,yes,yes,3,1,0,0,8,DDR4,0,512,3,1,30990
30,AMD Radeon RX 5500M,AMD Ryzen 5 5600H,IPS,15.6,2073600,144,0,2,no,1,0,0,0,Bluetooth 5.1,Windows 10,HD,0,0,Aluminium + Plastic,1.96,yes,no,no,2,1,1,0,8,DDR4,0,512,2,2,30900
31,AMD Radeon RX 5500M,AMD Ryzen 5 5600H,IPS,15.6,2073600,144,0,2,no,1,0,0,0,Bluetooth 5.1,Windows 10,HD,0,0,Aluminium + Plastic,1.96,yes,no,no,2,1,1,0,8,DDR4,0,512,2,2,30900
32,AMD Radeon RX 5500M,AMD Ryzen 7 3750H,IPS,15.6,2073600,144,0,2,no,1,2,0,0,Bluetooth 5.0,Windows 10,HD,0,0,Plastic,2.3,yes,yes,no,1,1,0,0,16,DDR4,0,512,3,1,25900
33,AMD Radeon RX 5500M,AMD Ryzen 7 3750H,IPS,15.6,2073600,120,0,2,no,1,2,0,0,Bluetooth 5.0,Windows 10,HD,0,0,Plastic,2.3,yes,yes,no,1,1,0,0,16,DDR4,0,512,3,1,25900
34,AMD Radeon RX 5500M,AMD Ryzen 7 3750H,IPS,15.6,2073600,120,0,2,no,1,2,0,0,Bluetooth 5.0,Windows 10,HD,0,0,Plastic,2.3,yes,yes,no,1,1,0,0,8,DDR4,0,512,3,1,27900
