,names,prices,urls,Brand,Model,Model Year,CPU,GPU,Panel Type,Size,Resolution,Refresh Rate,Touch Screen,Memory Size,Memory Slot,Hard Disk Drive,Solid State Drive,M.2 Slot,USB Ports,,HDMI,DisplayPort,D-Sub/VGA,Thunderbolt,Wireless LAN,Ethernet LAN,Bluetooth,OS Bundle,Web Camera,Optical Drive,Fingerprint,Body Material,Body Color,Weight,Battery Type,Keyboard Type,Keyboard Backlit,Numpad,Other Detail,Warranty,Insurance
120,DELL Latitude 5430-SNS5430010,"43,490",https://notebookspec.com/notebook/12012-dell-latitude-5430-sns5430010.html,DELL,DELL Latitude 5430-SNS5430010,Q2 / 2022,"Intel Core i5-1245U (1.20 GHz, 12 MB L3 Cache up to 4.40 Ghz)",Intel Iris Xe Graphics G7,IPS,14 นิ้ว,14 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,16 GB DDR4,2 Slots,ไม่มี,512 GB SSD PCIe M.2,2 x M.2 PCIe,2x USB 3.2 Type A,2x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,มี,802.11ax (Wi-Fi 6E),มี,Bluetooth 5.2,Windows 11 Pro (64 Bit),HD IR Camera for Windows Hello,ไม่มี,มี,Aluminum,Black,1.36 kg,"4-Cell, 58Wh",Chiclet Keyboard,มี,ไม่มี,,3Y Pro Support + 3Y Battery Service Support,ไม่มี
121,Asus X515JA-BQ301W,"13,990",https://notebookspec.com/notebook/12011-asus-x515ja-bq301w.html,Asus,Asus X515JA-BQ301W,Q2 / 2022,"Intel Core i3-1005G1 (1.20 GHz, 4 MB L3 Cache up to 3.40 Ghz)",Intel UHD Graphics 600,TN,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,4 GB DDR4 On Board,2 Slots,ไม่มี,512 GB SSD PCIe M.2,2 x M.2 Combo / 1 x M.2 SATA,2x USB 2.0,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ac (Wi-Fi 5),ไม่มี,Bluetooth 4.1,Windows 11 Home (64 Bit),VGA camera,ไม่มี,ไม่มี,Plastic,Slate Grey,1.8 kg,"2-Cell Li-ion, 37WHrs",Chiclet Keyboard,มี,มี,,2Y Carry-in Regional + 1Y Perfect,ไม่มี
122,Asus ExpertBook B1 B1500CEAE-BQ2357,"17,990",https://notebookspec.com/notebook/12010-asus-expertbook-b1-b1500ceae-bq2357.html,Asus,Asus ExpertBook B1 B1500CEAE-BQ2357,Q2 / 2022,"Intel Core i5-1135G7 (2.40 GHz, 8 MB L3 Cache up to 4.20 Ghz)",Intel Iris Xe Graphics G7,IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,8 GB DDR4 On Board,2 Slots,ไม่มี,256 GB SSD PCIe M.2,1 x M.2 Combo / 1 x M.2 PCIe,1x USB 2.0,1x USB 3.2 Type C,1x HDMI,ไม่มี,มี,ไม่มี,802.11ax (Wi-Fi 6),มี,Bluetooth 5.2,Endless OS,HD Camera,ไม่มี,มี,Aluminium Alloy,Star Black,1.73 kg,"3-Cell Li-ion, 42Whr",Chiclet Keyboard,มี,ไม่มี,,3Y Onsite + 1Y Perfect,ไม่มี
123,HP Victus Gaming 15-R5/8/512,"28,990",https://notebookspec.com/notebook/12009-hp-victus-gaming-15-r58512.html,HP,HP Victus Gaming 15-R5/8/512,Q2 / 2022,"AMD Ryzen 5 5600H (3.30 GHz up to 4.20 GHz, 16 MB L3 Cache)",NVIDIA GeForce GTX 1650 (4GB GDDR6),IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,144 Hz,ไม่รองรับ,8 GB DDR4,2 Slots,ไม่มี,512 GB SSD PCIe M.2,2 x M.2 PCIe,2x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ax (Wi-Fi 6E),มี,Bluetooth 5.2,Windows 11 Home (64 Bit),HD camera,ไม่มี,ไม่มี,Plastic,Mica Silver,2.29 kg,"3-Cell Li-ion, 52.5Whr",Chiclet keyboard,มี,มี,,2 Year Onsite Service,ไม่มี
124,HP Victus Gaming 15-i5/8/512,"31,990",https://notebookspec.com/notebook/12008-hp-victus-gaming-15-i58512.html,HP,HP Victus Gaming 15-i5/8/512,Q2 / 2022,"Intel Core i5-12500H (3.30 GHz, 18 MB L3 Cache, up to 4.50 GHz)",NVIDIA GeForce GTX 1650 (4GB GDDR6),IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,144 Hz,ไม่รองรับ,8 GB DDR4,2 Slots,ไม่มี,512 GB SSD PCIe M.2,2 x M.2 PCIe,2x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ax (Wi-Fi 6E),มี,Bluetooth 5.2,Windows 11 Home (64 Bit),HD camera,ไม่มี,ไม่มี,Plastic,Mica Silver,2.29 kg,"3-Cell Li-ion, 52.5Whr",Chiclet keyboard,มี,มี,,2 Year Onsite Service,ไม่มี
125,Lenovo Yoga 6 13ALC7-82UD004FTA,"31,990",https://notebookspec.com/notebook/12007-lenovo-yoga-6-13alc7-82ud004fta.html,Lenovo,Lenovo Yoga 6 13ALC7-82UD004FTA,Q3 / 2022,"AMD Ryzen 5 5500U (2.10 GHz up to 4.00 GHz, 8 MB L3 Cache)",AMD Radeon RX Vega 7,OLED,13.3 นิ้ว,13.3 inch WUXGA (1920x1200) Full HD+ 100% sRGB,90 Hz,รองรับ,16 GB LPDDR4 On Board,2 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.2 Type A,2x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ax (Wi-Fi 6),ไม่มี,Bluetooth 5.2,Windows 11 Home (64 Bit),HD IR Camera for Windows Hello,ไม่มี,มี,Aluminum,Dark Teal,1.37 kg,Integrated 59Wh,Chiclet Keyboard,มี,ไม่มี,"Microsoft Office Home & Student 2021, Lenovo Digital Pen",3Y Onsite + 1Y ADP,ไม่มี
126,Lenovo Yoga 6 13ALC7-82UD004GTA,"34,990",https://notebookspec.com/notebook/12006-lenovo-yoga-6-13alc7-82ud004gta.html,Lenovo,Lenovo Yoga 6 13ALC7-82UD004GTA,Q2 / 2022,"AMD Ryzen 7 5700U (1.80 GHz up to 4.30 GHz, 8 MB L3 Cache)",AMD Radeon RX Vega 8,OLED,13.3 นิ้ว,13.3 inch WUXGA (1920x1200) Full HD+ 100% sRGB,90 Hz,รองรับ,16 GB LPDDR4 On Board,2 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.2 Type A,2x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ax (Wi-Fi 6),ไม่มี,Bluetooth 5.2,Windows 11 Home (64 Bit),HD IR Camera for Windows Hello,ไม่มี,มี,Aluminum,Dark Teal,1.37 kg,Integrated 59Wh,Chiclet Keyboard,มี,ไม่มี,"Microsoft Office Home & Student 2021, Lenovo Digital Pen",3Y Onsite + 1Y ADP,ไม่มี
127,Lenovo Yoga 7i 14IAL7-82QE003LTA,"39,990",https://notebookspec.com/notebook/12005-lenovo-yoga-7i-14ial7-82qe003lta.html,Lenovo,Lenovo Yoga 7i 14IAL7-82QE003LTA,Q2 / 2022,"Intel Core i5-1240P (1.20 GHz, 12 MB L3 Cache up to 4.40 Ghz)",Intel Iris Xe Graphics G7,OLED,14 นิ้ว,14 inch (2880x1800) 2.8K HDR,90 Hz,รองรับ,16 GB LPDDR5 On Board,2 Slots,ไม่มี,1TB SSD PCIe M.2,1 x M.2 PCIe,1x USB 3.2 Type A,2x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,มี,802.11ax (Wi-Fi 6E),ไม่มี,Bluetooth 5.2,Windows 11 Home (64 Bit),HD IR Camera for Windows Hello,ไม่มี,ไม่มี,Aluminum,Storm Grey,1.42 kg,Integrated 71Wh,Chiclet Keyboard,มี,ไม่มี,"Microsoft Office Home & Student 2021, Lenovo E-color Pen",3Y Onsite + 1Y ADP,ไม่มี
128,Lenovo Yoga 7i 14IAL7-82QE003MTA,"45,990",https://notebookspec.com/notebook/12004-lenovo-yoga-7i-14ial7-82qe003mta.html,Lenovo,Lenovo Yoga 7i 14IAL7-82QE003MTA,Q2 / 2022,"Intel Core i7-1260P (1.50 GHz, 18 MB L3 Cache up to 4.70 Ghz)",Intel Iris Xe Graphics G7,OLED,14 นิ้ว,14 inch (2880x1800) 2.8K HDR,90 Hz,รองรับ,16 GB LPDDR5 On Board,2 Slots,ไม่มี,1TB SSD PCIe M.2,1 x M.2 PCIe,1x USB 3.2 Type A,2x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,มี,802.11ax (Wi-Fi 6E),ไม่มี,Bluetooth 5.2,Windows 11 Home (64 Bit),HD IR Camera for Windows Hello,ไม่มี,ไม่มี,Aluminum,Storm Grey,1.42 kg,Integrated 71Wh,Chiclet Keyboard,มี,ไม่มี,"Microsoft Office Home & Student 2021, Lenovo E-color Pen",3Y Onsite + 1Y ADP,ไม่มี
129,Lenovo Yoga 9i 14IAP7-82LU006LTA,"64,990",https://notebookspec.com/notebook/12003-lenovo-yoga-9i-14iap7-82lu006lta.html,Lenovo,Lenovo Yoga 9i 14IAP7-82LU006LTA,Q2 / 2022,"Intel Core i7-1280P (1.30 GHz, 24 MB L3 Cache up to 4.80 Ghz)",Intel Iris Xe Graphics G7,OLED,14 นิ้ว,14 inch WQHD+ (2880x1800) 2.8K HDR,90 Hz,รองรับ,32 GB LPDDR5 On Board,2 Slots,ไม่มี,1TB SSD PCIe M.2,1 x M.2 PCIe,1x USB 3.2 Type A,1x USB 3.2 Type C,ไม่มี,ไม่มี,ไม่มี,มี,802.11ax (Wi-Fi 6E),ไม่มี,Bluetooth 5.2,Windows 11 Home (64 Bit),HD IR Camera for Windows Hello,ไม่มี,มี,Aluminum,Storm Grey,1.4 kg,Integrated 75Wh,Chiclet Keyboard,มี,ไม่มี,"Microsoft Office Home & Student 2021, Lenovo E-color Pen",3Y Onsite + 3Y ADP,ไม่มี
130,Lenovo Yoga Slim 7i Pro 14IAP7-82SV003ETA,"36,990",https://notebookspec.com/notebook/12002-lenovo-yoga-slim-7i-pro-14iap7-82sv003eta.html,Lenovo,Lenovo Yoga Slim 7i Pro 14IAP7-82SV003ETA,Q2 / 2022,"Intel Core i5-1240P (1.20 GHz, 12 MB L3 Cache up to 4.40 Ghz)",Intel Iris Xe Graphics G7,IPS,14 นิ้ว,14 inch (2880x1800) 2.8K HDR,90 Hz,ไม่รองรับ,16 GB LPDDR5 On Board,2 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,1x USB 3.2 Type A,2x USB 3.2 Type C,ไม่มี,ไม่มี,ไม่มี,มี,802.11ax (Wi-Fi 6),ไม่มี,Bluetooth 5.1,Windows 11 Home (64 Bit),HD IR Camera for Windows Hello,ไม่มี,ไม่มี,Aluminum,Storm Grey,1.42 kg,Integrated 61Wh,Chiclet Keyboard,มี,ไม่มี,Microsoft Office Home & Student 2021,3Y Onsite + 1Y ADP,ไม่มี
131,Lenovo Yoga Slim 7i Pro 14IAP7-82SV003ATA,"44,990",https://notebookspec.com/notebook/12001-lenovo-yoga-slim-7i-pro-14iap7-82sv003ata.html,Lenovo,Lenovo Yoga Slim 7i Pro 14IAP7-82SV003ATA,Q2 / 2022,"Intel Core i7-1260P (1.50 GHz, 18 MB L3 Cache up to 4.70 Ghz)",Intel Iris Xe Graphics G7,IPS,14 นิ้ว,14 inch (2880x1800) 2.8K HDR,90 Hz,ไม่รองรับ,16 GB LPDDR5 On Board,2 Slots,ไม่มี,1TB SSD PCIe M.2,1 x M.2 PCIe,1x USB 3.2 Type A,2x USB 3.2 Type C,ไม่มี,ไม่มี,ไม่มี,มี,802.11ax (Wi-Fi 6E),ไม่มี,Bluetooth 5.1,Windows 11 Home (64 Bit),HD IR Camera for Windows Hello,ไม่มี,ไม่มี,Aluminum,Storm Grey,1.42 kg,Integrated 61Wh,Chiclet Keyboard,มี,ไม่มี,Microsoft Office Home & Student 2021,3Y Onsite + 1Y ADP,ไม่มี
132,Lenovo Yoga Slim 7i Carbon 13IAP7-82U9000CTA,"39,990",https://notebookspec.com/notebook/12000-lenovo-yoga-slim-7i-carbon-13iap7-82u9000cta.html,Lenovo,Lenovo Yoga Slim 7i Carbon 13IAP7-82U9000CTA,Q2 / 2022,"Intel Core i5-1240P (1.20 GHz, 12 MB L3 Cache up to 4.40 Ghz)",Intel Iris Xe Graphics G7,IPS,13.3 นิ้ว,13.3 inch (2560x1600) 2.5K 100% sRGB,90 Hz,ไม่รองรับ,16 GB LPDDR5 On Board,2 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.2 Type A,,ไม่มี,ไม่มี,ไม่มี,มี,802.11ax (Wi-Fi 6E),ไม่มี,Bluetooth 5.1,Windows 11 Home (64 Bit),HD IR Camera for Windows Hello,ไม่มี,ไม่มี,Carbon Fiber + Magnesium,Onyx Grey,0.97 kg,Integrated 50Wh,Chiclet Keyboard,มี,ไม่มี,Microsoft Office Home & Student 2021,3Y Onsite + 3Y ADP,ไม่มี
133,Lenovo Yoga Slim 9i 14IAP7-82T00007TA,"69,990",https://notebookspec.com/notebook/11999-lenovo-yoga-slim-9i-14iap7-82t00007ta.html,Lenovo,Lenovo Yoga Slim 9i 14IAP7-82T00007TA,Q2 / 2022,"Intel Core i7-1280P (1.30 GHz, 24 MB L3 Cache up to 4.80 Ghz)",Intel Iris Xe Graphics G7,OLED,14 นิ้ว,14 inch WQUXGA (3840x2400) 4K,90 Hz,รองรับ,32 GB LPDDR5 On Board,2 Slots,ไม่มี,1TB SSD PCIe M.2,1 x M.2 PCIe,3x USB 3.2 Type C,,ไม่มี,ไม่มี,ไม่มี,มี,802.11ax (Wi-Fi 6E),ไม่มี,Bluetooth 5.1,Windows 11 Home (64 Bit),HD IR Camera for Windows Hello,ไม่มี,ไม่มี,Aluminum,Oatmeal,1.37 kg,Integrated 75Wh,Chiclet Keyboard,มี,ไม่มี,Microsoft Office Home & Student 2021,3Y Onsite + 3Y ADP,ไม่มี
134,Lenovo Yoga Slim 7 Pro X 14ARH7-82TL000GTA,"46,990",https://notebookspec.com/notebook/11998-lenovo-yoga-slim-7-pro-x-14arh7-82tl000gta.html,Lenovo,Lenovo Yoga Slim 7 Pro X 14ARH7-82TL000GTA,Q2 / 2022,"AMD Ryzen 7 6800HS (3.20 GHz up to 4.70 GHz, 16 MB L3 Cache)",NVIDIA GeForce RTX 3050 (4GB GDDR6),IPS,14.5 นิ้ว,14.5 inch (3072x1920) 3K 100% sRGB,120 Hz,ไม่รองรับ,16 GB LPDDR5 On Board,2 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.2 Type A,2x USB 3.2 Type C,ไม่มี,1x DisplayPort,ไม่มี,ไม่มี,802.11ax (Wi-Fi 6),ไม่มี,Bluetooth 5.1,Windows 11 Home (64 Bit),HD IR Camera for Windows Hello,ไม่มี,ไม่มี,Aluminum,Storm Grey,1.45 kg,Integrated 70Wh,Chiclet Keyboard,มี,ไม่มี,Microsoft Office Home & Student 2021,3Y Onsite + 1Y ADP,ไม่มี
135,Lenovo Yoga Slim 7 Pro X 14IAH7-82TK007CTA,"54,990",https://notebookspec.com/notebook/11997-lenovo-yoga-slim-7-pro-x-14iah7-82tk007cta.html,Lenovo,Lenovo Yoga Slim 7 Pro X 14IAH7-82TK007CTA,Q2 / 2022,"Intel Core i7-12700H (3.50 GHz, 24 MB L3 Cache, up to 4.70 GHz)",NVIDIA GeForce RTX 3050 (4GB GDDR6),IPS,14.5 นิ้ว,14.5 inch (3072x1920) 3K 100% sRGB,120 Hz,ไม่รองรับ,16 GB LPDDR5 On Board,2 Slots,ไม่มี,1TB SSD PCIe M.2,1 x M.2 PCIe,1x USB 3.2 Type A,,1x HDMI,ไม่มี,ไม่มี,มี,802.11ax (Wi-Fi 6E),ไม่มี,Bluetooth 5.1,Windows 11 Home (64 Bit),HD IR Camera for Windows Hello,ไม่มี,ไม่มี,Aluminum,Grey,1.45 kg,Integrated 70Wh,Chiclet Keyboard,มี,ไม่มี,Microsoft Office Home & Student 2021,3Y Onsite + 1Y ADP,ไม่มี
136,Acer Aspire 3 A314-35-P2SR,"13,990",https://notebookspec.com/notebook/11996-acer-aspire-3-a314-35-p2sr.html,Acer,Acer Aspire 3 A314-35-P2SR,Q2 / 2022,"Intel Pentium Silver N6000 (1.10 GHz, 1.5 MB L2 Cache, up to 3.30 GHz)",Intel UHD Graphics 605,IPS,14 นิ้ว,14 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,4 GB DDR4,2 Slots,ไม่มี,256 GB SSD PCIe M.2,1 x M.2 PCIe,1x USB 2.0,2x USB 3.2 Type A,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ac (Wi-Fi 5),มี,Bluetooth 5.0,Windows 11 Home (64 Bit),640 x 480 resolution,ไม่มี,ไม่มี,Plastic,Pure Silver,1.45 kg,"2-Cell Li-ion, 36.7Wh",Chiclet Keyboard,ไม่มี,ไม่มี,,2 Y. Carry-in Regional,ไม่มี
137,Lenovo ThinkBook 14 ITL-20VD00P9TA,"20,990",https://notebookspec.com/notebook/11995-lenovo-thinkbook-14-itl-20vd00p9ta.html,Lenovo,Lenovo ThinkBook 14 ITL-20VD00P9TA,Q2 / 2022,"Intel Core i5-1135G7 (2.40 GHz, 8 MB L3 Cache up to 4.20 Ghz)",Intel Iris Xe Graphics G7,IPS,14 นิ้ว,14 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,8 GB DDR4 On Board,2 Slots,ไม่มี,256 GB SSD PCIe M.2,2 x M.2 Combo,2x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,มี,802.11ac (Wi-Fi 5),มี,Bluetooth 5.0,DOS Operating System,HD Camera,ไม่มี,มี,Aluminum,Mineral Grey,1.4 kg,Integrated 45Wh,Chiclet Keyboard,ไม่มี,ไม่มี,,1 Year Onsite Service,ไม่มี
138,Lenovo ThinkBook 14 ACL-21A2009XTA,"13,990",https://notebookspec.com/notebook/11994-lenovo-thinkbook-14-acl-21a2009xta.html,Lenovo,Lenovo ThinkBook 14 ACL-21A2009XTA,Q2 / 2022,"AMD Ryzen 3 5300U (2.60 GHz, 4 MB L3 Cache, up to 3.80 GHz)",AMD Radeon RX Vega 6,IPS,14 นิ้ว,14 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,4 GB DDR4 On Board,2 Slots,ไม่มี,256 GB SSD PCIe M.2,2 x M.2 Combo,2x USB 3.2 Type A,2x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ac (Wi-Fi 5),มี,Bluetooth 5.0,DOS Operating System,HD Camera,ไม่มี,มี,Aluminum,Mineral Grey,1.4 kg,Integrated 45Wh,Chiclet Keyboard,ไม่มี,ไม่มี,,1 Year Onsite Service,ไม่มี
139,Lenovo IdeaPad 3 14ITL05-81X700ENTA,"19,990",https://notebookspec.com/notebook/11993-lenovo-ideapad-3-14itl05-81x700enta.html,Lenovo,Lenovo IdeaPad 3 14ITL05-81X700ENTA,Q2 / 2022,"Intel Core i5-1135G7 (2.40 GHz, 8 MB L3 Cache up to 4.20 Ghz)",Intel Iris Xe Graphics G7,IPS,14 นิ้ว,14 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,8 GB DDR4 On Board,2 Slots,ไม่มี,512 GB SSD PCIe M.2,2 x M.2 PCIe,1x USB 2.0,2x USB 3.2 Type A,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ac (Wi-Fi 5),ไม่มี,Bluetooth 5.0,Windows 11 Home (64 Bit),HD camera,ไม่มี,ไม่มี,Plastic,Platinum Grey,1.5 kg,Integrated 45Wh,Chiclet Keyboard,ไม่มี,ไม่มี,Microsoft Office Home & Student 2021,2Y Onsite + 1Y ADP,ไม่มี
140,Lenovo ThinkBook 14 ACL-21A2009VTA,"16,490",https://notebookspec.com/notebook/11992-lenovo-thinkbook-14-acl-21a2009vta.html,Lenovo,Lenovo ThinkBook 14 ACL-21A2009VTA,Q2 / 2022,"AMD Ryzen 5 5500U (2.10 GHz up to 4.00 GHz, 8 MB L3 Cache)",AMD Radeon RX Vega 7,IPS,14 นิ้ว,14 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,8 GB DDR4 On Board,2 Slots,ไม่มี,256 GB SSD PCIe M.2,2 x M.2 Combo,2x USB 3.2 Type A,2x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ac (Wi-Fi 5),มี,Bluetooth 5.0,DOS Operating System,HD Camera,ไม่มี,มี,Aluminum,Mineral Grey,1.4 kg,Integrated 45Wh,Chiclet Keyboard,ไม่มี,ไม่มี,,1 Year Onsite Service,ไม่มี
141,Acer Aspire 5 A515-45-R8QC,"16,990",https://notebookspec.com/notebook/11991-acer-aspire-5-a515-45-r8qc.html,Acer,Acer Aspire 5 A515-45-R8QC,Q2 / 2022,"AMD Ryzen 3 5300U (2.60 GHz, 4 MB L3 Cache, up to 3.80 GHz)",AMD Radeon RX Vega 6,IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,4 GB DDR4,2 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,1x USB 2.0,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ac (Wi-Fi 5),มี,Bluetooth 5.1,Windows 11 Home (64 Bit),HD camera,ไม่มี,ไม่มี,Aluminum,Silver,1.76 kg,"3-Cell Li-ion, 48Whr",Chiclet Keyboard,มี,มี,,2 Y. Carry-in Regional,ไม่มี
142,MSI Stealth 15M A11UEK-277TH,"48,490",https://notebookspec.com/notebook/11990-msi-stealth-15m-a11uek-277th.html,MSI,MSI Stealth 15M A11UEK-277TH,Q2 / 2022,"Intel Core i7-11375H (3.30 GHz, 12 MB L3 Cache up to 5.00 Ghz)",NVIDIA GeForce RTX 3060 Max-Q (6GB GDDR6),IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,144 Hz,ไม่รองรับ,16 GB DDR4,2 Slots,ไม่มี,1TB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.2 Type A,2x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,มี,802.11 ax (Wi-Fi 6),ไม่มี,Bluetooth 5.1,Windows 11 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Plastic,Carbon Grey,1.7 kg,"3-Cell, 52Whr",RGB Chiclet Keyboard,มี,ไม่มี,,2Y (1 year Global+ 1 Year Thailand),ไม่มี
143,Asus E410MA-EKP11W,"13,990",https://notebookspec.com/notebook/11989-asus-e410ma-ekp11w.html,Asus,Asus E410MA-EKP11W,Q2 / 2022,"Intel Pentium Silver N5030 (2.00 GHz, 4 MB L2 Cache, up to 3.10 GHz)",Intel UHD Graphics 605,IPS,14 นิ้ว,14 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,4 GB DDR4 On Board,1 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,1x USB 2.0,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ac (Wi-Fi 5),ไม่มี,Bluetooth 4.1,Windows 11 Home (64 Bit),VGA camera,ไม่มี,ไม่มี,Plastic,Peacock Blue,1.3 kg,"3-Cell Li-ion, 42WHrs",Chiclet Keyboard,มี,มี,,2Y Carry-in Regional + 1Y Perfect,ไม่มี
144,MSI GF63 Thin 11SC-674TH,"22,990",https://notebookspec.com/notebook/11988-msi-gf63-thin-11sc-674th.html,MSI,MSI GF63 Thin 11SC-674TH,Q2 / 2022,"Intel Core i5-11400H (2.70 GHz, 12 MB L3 Cache up to 4.50 Ghz)",NVIDIA GeForce GTX 1650 Max-Q (4GB GDDR6),IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,8 GB DDR4,2 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,3x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ax (Wi-Fi 6),มี,Bluetooth 5.1,Windows 11 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Plastic,Black,1.86 kg,"3-Cell Li-Polymer, 52.4Wh",Chiclet keyboard,มี,ไม่มี,,2Y (1 year Global+ 1 Year Thailand),ไม่มี
145,MSI Alpha 15 B5EEK-097TH,"29,990",https://notebookspec.com/notebook/11987-msi-alpha-15-b5eek-097th.html,MSI,MSI Alpha 15 B5EEK-097TH,Q2 / 2022,"AMD Ryzen 5 5600H (3.30 GHz up to 4.20 GHz, 16 MB L3 Cache)",AMD Radeon RX 6600M (8GB GDDR6),IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,8 GB DDR4,2 Slots,ไม่มี,512 GB SSD PCIe M.2,2 x M.2 PCIe,1x USB 2.0,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ax (Wi-Fi 6),มี,Bluetooth 5.1,Windows 10 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Plastic,Black,2.35 kg,"4-Cell Li-ion, 90Wh",RGB Chiclet Keyboard,มี,มี,,2Y Carry-in Regional (1Y for Battery and Adapter),ไม่มี
146,Asus Vivobook 14 OLED D1402IA-EB501WS,"19,990",https://notebookspec.com/notebook/11986-asus-vivobook-14-oled-d1402ia-eb501ws.html,Asus,Asus Vivobook 14 OLED D1402IA-EB501WS,Q2 / 2022,"AMD Ryzen 5 4600H (3.00 GHz up to 4.00 GHz, 8 MB L3 Cache)",AMD Radeon RX Vega 6,OLED,14 นิ้ว,14 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,8 GB DDR4 On Board,2 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,1x USB 2.0,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11 ax (Wi-Fi 6),ไม่มี,Bluetooth 5.0,Windows 11 Home (64 Bit),HD Camera,ไม่มี,มี,Aluminium + Plastic,Quiet Blue,1.5 kg,"3-Cell Li-ion, 42WHrs",Chiclet Keyboard,มี,มี,Microsoft Office Home & Student 2021,2Y Carry-in Regional + 1Y Perfect,ไม่มี
147,Lenovo Legion 5 Pro 16IAH7H-82RF00F1TA,"89,990",https://notebookspec.com/notebook/11985-lenovo-legion-5-pro-16iah7h-82rf00f1ta.html,Lenovo,Lenovo Legion 5 Pro 16IAH7H-82RF00F1TA,Q2 / 2022,"Intel Core i9-12900H (3.80 GHz, 24 MB L3 Cache, up to 5.00 GHz)",NVIDIA GeForce RTX 3070 Ti (8GB GDDR6),IPS,16 นิ้ว,16 inch WQXGA (2560x1600) 2K,165 Hz,ไม่รองรับ,32 GB DDR5,2 Slots,ไม่มี,1TB SSD PCIe M.2,2 x M.2 PCIe,3x USB 3.2 Type A,2x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,มี,802.11ax (Wi-Fi 6E),มี,Bluetooth 5.1,Windows 11 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Aluminum,Storm Grey,2.49 kg,Integrated 80Wh,RGB Chiclet Keyboard,มี,มี,Office Trial,4Y Legion Ultimate Support + 2Y ADP,ไม่มี
