,names,prices,urls,Brand,Model,Model Year,CPU,GPU,Panel Type,Size,Resolution,Refresh Rate,Touch Screen,Memory Size,Memory Slot,Hard Disk Drive,Solid State Drive,M.2 Slot,USB Ports,,HDMI,DisplayPort,D-Sub/VGA,Thunderbolt,Wireless LAN,Ethernet LAN,Bluetooth,OS Bundle,Web Camera,Optical Drive,Fingerprint,Body Material,Body Color,Weight,Battery Type,Keyboard Type,Keyboard Backlit,Numpad,Other Detail,Warranty,Insurance
10,HP Victus Gaming 16-e1081AX,"38,490",https://notebookspec.com/notebook/12123-hp-victus-gaming-16-e1081ax.html,HP,HP Victus Gaming 16-e1081AX,Q3 / 2022,"AMD Ryzen 5 6600H (3.30 GHz up to 4.50 GHz, 16MB L3 Cache)",NVIDIA GeForce RTX 3050 Ti (4GB GDDR6),IPS,16.1 นิ้ว,16.1 inch (1920x1080) Full HD,144 Hz,ไม่รองรับ,16 GB DDR5,2 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,3x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ax (Wi-Fi 6),มี,Bluetooth 5.2,Windows 11 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Plastic,Mica Silver,2.4 kg,"4-Cell Li-Polymer, 70Whr",Chiclet keyboard,มี,มี,McAfee LiveSafe,2 Year Onsite Service,ไม่มี
11,HP Victus Gaming 16-e1080AX,"41,990",https://notebookspec.com/notebook/12122-hp-victus-gaming-16-e1080ax.html,HP,HP Victus Gaming 16-e1080AX,Q3 / 2022,"AMD Ryzen 7 6800H (3.20 GHz up to 4.70 GHz, 16 MB L3 Cache)",NVIDIA GeForce RTX 3050 Ti (4GB GDDR6),IPS,16.1 นิ้ว,16.1 inch (1920x1080) Full HD,144 Hz,ไม่รองรับ,16 GB DDR5,2 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,3x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ax (Wi-Fi 6),มี,Bluetooth 5.2,Windows 11 Home (64 Bit),HD Camera,ไม่มี,ไม่มี,Plastic,Mica Silver,2.4 kg,"4-Cell Li-Polymer, 70Whr",Chiclet keyboard,มี,มี,McAfee LiveSafe,2 Year Onsite Service,ไม่มี
12,HP 15s-fq2665TU,"15,900",https://notebookspec.com/notebook/12121-hp-15s-fq2665tu.html,HP,HP 15s-fq2665TU,Q3 / 2022,"Intel Core i3-1115G4 (3.00 GHz, 6 MB L3 Cache up to 4.10 Ghz)",Intel UHD Graphics Xe G4,TN,15.6 นิ้ว,15.6 inch (1366x768) HD,60 Hz,ไม่รองรับ,4 GB DDR4,2 Slots,ไม่มี,256 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.1 Type A,1x USB 3.1 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ac (Wi-Fi 5),ไม่มี,Bluetooth 5.0,Windows 11 Home (64 Bit),HD camera,ไม่มี,ไม่มี,Aluminum,Natural silver,1.7 kg,"3-Cell Li-ion, 41Whr",Chiclet Keyboard,มี,มี,,2 Year Onsite Service,ไม่มี
13,HP 15s-eq3002AU,"20,990",https://notebookspec.com/notebook/12120-hp-15s-eq3002au.html,HP,HP 15s-eq3002AU,Q3 / 2022,"AMD Ryzen 5 5625U (2.30 GHz up to 4.30 GHz, 16MB L3 Cache)",AMD Radeon RX Vega 7,IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,8 GB DDR4,2 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.1 Type A,1x USB 3.1 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ax (Wi-Fi 6),ไม่มี,Bluetooth 5.2,Windows 11 Home (64 Bit),HD camera,ไม่มี,มี,Aluminum,Natural silver,1.69 kg,"3-Cell Li-ion, 41Whr",Chiclet Keyboard,มี,มี,Microsoft Office Home & Student 2021,2 Year Onsite Service,ไม่มี
14,HP 15s-eq3001AU,"23,990",https://notebookspec.com/notebook/12119-hp-15s-eq3001au.html,HP,HP 15s-eq3001AU,Q3 / 2022,"AMD Ryzen 5 5625U (2.30 GHz up to 4.30 GHz, 16MB L3 Cache)",AMD Radeon RX Vega 7,IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,16 GB DDR4,2 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.1 Type A,1x USB 3.1 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ax (Wi-Fi 6),ไม่มี,Bluetooth 5.2,Windows 11 Home (64 Bit),HD camera,ไม่มี,มี,Aluminum,Natural silver,1.69 kg,"3-Cell Li-ion, 41Whr",Chiclet Keyboard,มี,มี,Microsoft Office Home & Student 2021,2 Year Onsite Service,ไม่มี
15,HP 15s-eq2134AU,"19,990",https://notebookspec.com/notebook/12118-hp-15s-eq2134au.html,HP,HP 15s-eq2134AU,Q3 / 2022,"AMD Ryzen 3 5300U (2.60 GHz, 4 MB L3 Cache, up to 3.80 GHz)",AMD Radeon RX Vega 6,IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,8 GB DDR4,2 Slots,ไม่มี,512 GB SSD PCIe M.2,1 x M.2 PCIe,2x USB 3.1 Type A,1x USB 3.1 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ac (Wi-Fi 5),ไม่มี,Bluetooth 5.0,Windows 11 Home (64 Bit),HD camera,ไม่มี,ไม่มี,Aluminum,Natural silver,1.69 kg,"3-Cell Li-ion, 41Whr",Chiclet Keyboard,มี,มี,Microsoft Office Home & Student 2021,2 Year Onsite Service,ไม่มี
16,Lenovo IdeaPad 3 14IAU7-82RJ005LTA,"23,490",https://notebookspec.com/notebook/12117-lenovo-ideapad-3-14iau7-82rj005lta.html,Lenovo,Lenovo IdeaPad 3 14IAU7-82RJ005LTA,Q3 / 2022,"Intel Core i5-1235U (1.30 GHz, 12 MB L3 Cache up to 4.40 Ghz)",Intel Iris Xe Graphics G7,IPS,14 นิ้ว,14 inch (1920x1080) Full HD,60 Hz,รองรับ,8 GB DDR4 On Board,2 Slots,ไม่มี,512 GB SSD PCIe M.2 Gen 4,1 x M.2 PCIe,1x USB 2.0,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ax (Wi-Fi 6),ไม่มี,Bluetooth 5.2,Windows 11 Home (64 Bit),HD Camera,ไม่มี,มี,Plastic,Arctic Grey,1.43 kg,Integrated 45Wh,Chiclet Keyboard,มี,ไม่มี,Microsoft Office Home&Student 2021,2Y Onsite + 1Y ADP,ไม่มี
17,Lenovo IdeaPad 5 15IAL7-82SF001DTA,"31,990",https://notebookspec.com/notebook/12116-lenovo-ideapad-5-15ial7-82sf001dta.html,Lenovo,Lenovo IdeaPad 5 15IAL7-82SF001DTA,Q3 / 2022,"Intel Core i7-1255U (1.20 GHz, 12 MB L3 Cache up to 4.70 Ghz)",Intel Iris Xe Graphics G7,IPS,15.6 นิ้ว,15.6 inch (1920x1080) Full HD,60 Hz,ไม่รองรับ,16 GB DDR4 On Board,2 Slots,ไม่มี,512 GB SSD PCIe M.2 Gen 4,1 x M.2 PCIe / 1 x SATA 2.5,2x USB 3.2 Type A,2x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ax (Wi-Fi 6),ไม่มี,Bluetooth 5.2,Windows 11 Home (64 Bit),FHD camera,ไม่มี,มี,Aluminum,Storm Grey,1.85 kg,Integrated 57Wh,Chiclet Keyboard,มี,มี,Microsoft Office Home&Student 2021,2Y Onsite + 1Y ADP,ไม่มี
18,Asus Vivobook S 14 Flip OLED TP3402ZA-KN501WS,"31,990",https://notebookspec.com/notebook/12115-asus-vivobook-s-14-flip-oled-tp3402za-kn501ws.html,Asus,Asus Vivobook S 14 Flip OLED TP3402ZA-KN501WS,Q3 / 2022,"Intel Core i5-12500H (3.30 GHz, 18 MB L3 Cache, up to 4.50 GHz)",Intel Iris Xe Graphics G7,OLED,14 นิ้ว,14.0 inch (2880x1800) 2.8K HDR,90 Hz,รองรับ,8 GB DDR4 On Board,2 Slots,ไม่มี,512 GB SSD PCIe M.2 Gen 4,1 x M.2 PCIe,1x USB 2.0,1x USB 3.2 Type A,1x HDMI,ไม่มี,ไม่มี,มี,802.11ax (Wi-Fi 6),ไม่มี,Bluetooth 5.1,Windows 11 Home (64 Bit),FHD Camera,ไม่มี,ไม่มี,Aluminium + Plastic,Quiet Blue,1.5 kg,"3-Cell Li-ion, 50Whr",Chiclet Keyboard,มี,ไม่มี,"Microsoft Office Home & Student 2021, Stylus Pen",2Y Onsite + 1Y Perfect,ไม่มี
19,Lenovo IdeaPad 5 Pro 16ARH7-82SN003BTA,"41,990",https://notebookspec.com/notebook/12114-lenovo-ideapad-5-pro-16arh7-82sn003bta.html,Lenovo,Lenovo IdeaPad 5 Pro 16ARH7-82SN003BTA,Q3 / 2022,"AMD Ryzen 7 6800HS (3.20 GHz up to 4.70 GHz, 16 MB L3 Cache)",NVIDIA GeForce RTX 3050 (4GB GDDR6),IPS,16 นิ้ว,16 inch WQXGA (2560x1600) 2.5K sRGB 100%,120 Hz,ไม่รองรับ,16 GB LPDDR5 On Board,2 Slots,ไม่มี,512 GB SSD PCIe M.2 Gen 4,1 x M.2 PCIe,2x USB 3.2 Type A,1x USB 3.2 Type C,1x HDMI,ไม่มี,ไม่มี,ไม่มี,802.11ax (Wi-Fi 6),ไม่มี,Bluetooth 5.2,Windows 11 Home (64 Bit),FHD IR Camera for Windows Hello,ไม่มี,ไม่มี,Aluminum,Storm Grey,1.95 kg,Li-Polymer 75Wh,Chiclet Keyboard,มี,มี,Microsoft Office Home&Student 2021,2Y Onsite + 1Y ADP,ไม่มี
